"ID";"ProductNumber";"Severity";"Title";"Description";"Reporter";"Created";"Fixed"
"143";"SL1000-2120";"0";"Ændring af procedure og rettelse i C5 og tegning";"Der skal i den ene ende af kablet sættes tyller (1,5) på. Varenummer 71.025.1500";"Kate Jensen";"2022-06-16";"2022-06-16"
"144";"SL608-1130";"0";"NB! Minus terminalrør. Afisoler 8mm istedet.";;"Dennis Riis Andersen";"2022-07-04";"2022-12-15"
"145";"MCA-100";"1";"Cover + kabler";"Skal der stadig MWD-COV med?
Skal vi ændre tilslutninger til alm. ledninger i stil med GH´s model?";"Niels Vejsgård";"2022-07-05";NULL
"146";"W-400-0300";"0";"Kabel skal ikke afisoleres helt igennem!";"Da rillflex er skiftet, skal kabel ikke afisoleres helt mere. tegning ændres evt.";"Dennis Riis Andersen";"2022-09-13";"2022-12-15"
"147";"SL409-609-2113";"0";"Fremstil kabeltester + testprogram";;"Esben Kristensen";"2022-10-03";"2022-10-27"
"148";"SL1000-2200";"2";"Mangel i Kabeltestprogram....";"Smartlift oplever CAN_H & CAN_L er byttet i 35P stik.
Dvs. vi ikke tester GN,BU,GY.
Tilføj disse i testprogrammet.";"Esben Kristensen";"2022-10-06";"2022-12-06"
"149";"SSM-130";"1";"3D print";"Kanten skal rundes så det kan gå ind i røret.";"Klaus Graversen";"2022-12-19";NULL
"150";"JET-110-3";"1";"Softwareændring ikke testet!";"Se journal: 09-01-2023EK";"Esben Kristensen";"2023-01-09";NULL
"151";"VT-100";"1";"Sikringholder";"Der mangler sikringsholder i F1,F2,F5";"Klaus Graversen";"2023-02-06";NULL
"152";"VT-100";"1";"Mangler stik";"J41 og J42 mangler ";"Klaus Graversen";"2023-02-06";NULL
"153";"GEM-2380";"1";"Tester";"Der skal laves tester";"Klaus Graversen";"2023-02-07";"2023-04-04"
"154";"MCC-110";"2";"Tilføjelse af CAN II . + Ny software.";"Se Journal beskrivelse. 
Tilføj ny funktion i produktionsbesk, stykliste osv.
Jvf. Mail fra Kunden. :
Med ledningslængde på 70 cm
Og i må gerne undlade at montere den grønne ledning (OUT1 Låse signal)
";"Esben Kristensen";"2023-04-03";NULL
