"ID";"Number";"Name";"Journal";"Owner"
"27";"MWD-520";"MWD-520 Powerboks";"120718 Knud opdatering pga. dårligt radiosignal og stort strømforbrug.

Firmware version 2.1.0 til MWD-510, MWD-520 og MWD-530 opdateret på FTP server.


Som nævnt, fik jeg i går øje på at MWD-500 brugte lidt mere strøm end den ladestrømmen.
-	Og fik øje på et stort forbrug fra display – det kæmpende jeg også en del med.
Lavede bla. en mellemforbindelse til display, så jeg kunne måle strømmen i alle forbindelser imellem MMB100 og display.
-	Konklusionen blev, at det display som var i den MWD-500 i sendte, er deffekt!
I forhold til et andet display jeg har fået fra jer, bruger displayet ca. 52mA hvis men forsyner den direkte med +5V
+ den bruger 112mA ved 100% backligt (mod 100mA på et andet display).

Udover at det blå print er forskellig på de 2 display, så er det også 2 forskellige LCD moduler.
Har taget billede hvor selve LCD modulet er vippet op, ”Display(gammel).jpg” er den ’model’ som er OK.
Søgte på Internet omkring dette, men fandt ikke information herom.


MWD-510 ændringer i version 2.1.0 :
1)	Beep signal ved lav radiosignal ændret:
a) Ny ’kort’ beep signal hver sekund, hvis der er tabte 2 eller flere besked indenfor det sidste sekund (der sendes 10 gang pr. sekund).
b) Det oprindelige Beep-signal kommer nu ved noget svagere signal
    Har set en del gang, at den stadig kan holde forbindelse i lang tid når beep signal høres.
c) Det oprindelige Beep-signal stopper når den har modtaget 10 beskeder i træk.
2)	Har fundet en fejl i radiodelen udlæsning af Radio-signal-styrke fra Chippen, hvilket vil påvirke styrke af sendestyrke, m.m.
3)	Har fundet en mindre fejl ved SPI til Touch.
Er dog ikke fatal, da Touch har sin egen SPI bus.
Medført dog ca. 4mA ekstra forbrug.
4)	Har indført dæmpning af BackLight:
- Efter 1 minut uden betjening + under opladning dæmpes til 40%.
- 100% kan ’aktiveres’ igen ved et tryk på Touch (også uden at A-tasten holdes inde).
5)	Har målet de enkelt forbrug igennem (med et OK display)
a) CPU + Disp                                                    46,3mA
b) CPU + Disp + Radio (20mW)                        84,4mA
c) CPU + Disp + Radio (120mW)                       101,0mA
d) CPU + Disp + Radio (20mW) + 40% BL       122,0mA
e) CPU + Disp + Radio (20mW) + 100% BL     185,0mA

Ladestrøm (til batteri)                                        145mA
Ladestrøm (total)                                               266mA
6)	MWD-500 Radio sendestyrke: 20mW, 60mW, 120mW (målt ledningsbåren, styres efter behov).
Jf. EN 300 220-1 må der max. sende med 25mW, men det er den udstrålede effekt.
Jeg vurdere at, der er et ret stort tab i antennen – men kan ikke måle det….

MWD-520 + MWD-530 ændringer:
1)	CAN ændret til Active mode
2)	Radio sendestyrke: 20mW, 60mW (målt ledningsbåren, styres efter behov).
Jf. EN 300 220-1 må der max. sende med 25mW, men det er den udstrålede effekt.

Der er ingen forstærning i Procom antennen.
Vil forvente at der tabes ca. 1,5..2dB i den relative lave antenne.
Dvs. udstrålet effekt kan komme op på 90mW, hvilket er ca.2dB over det tilladte.

I forrige version fik basen lov at sende med op til 120mW.

Andet:
1)	Oplever periodisk fejl på DC stik til opladning.
2)	Antenneledning var loddet på antenneprint, så den gik direkte tilbage over antenne.
Ved ikke hvor meget det betyder – men tænker det ikke er optimal…
3)	Tror at antennen har ’problemer’ med den korte afstand til metalkabinet i siderne.
Vil forslå vi prøver en anden løsning – tegning vedhæftet.
4)	Da jeg har udskifte display i MWD-510 med det jeg ofte bruger til andre tests, vil jeg gerne – ved lejlighed – have et nyt display.

Test:
1)	I mine test har jeg brugte Procomm antenne, monteret i et skruestik som stod på bordet inde på kontoret.
Har så gået rundt med MWD-510 i haven og ned af jernbanestien.
2)	Oplever nu kun enkelte korte beep når jeg går rundt i haven.
3)	I går lavet rigtig mange test, hvor jeg log’ede data med PC fra MWD-510.
- Her skulle jeg ca. 150meter ned at jernbanestien før der begyndte at komme flere korte-beep.
- Ved ca. 250..300 begyndte det oprindelige Beep af lyde.
4)	I dag samlede jeg MWD-500 helt, og oplevede lidt kortere rækkevikke.
- I haven, stadig kun ganske får korte beep.
- ca. 100 meter nede af jernbanestien begyndte det oprindelige Beep signal.
  Blev stående nogen tid på de 100 meter, hvor den holdt forbindelsen.
";
"248";"NIV-210";"Niveau-sensor +/- 30 promille";;
"249";"SSM-140";"Ledningsnet til SSM-100";;"Langhøj"
"250";"UVC-825";"Kabelkit UVC-820 ";;"NatDis"
"251";"MSS-xxx";"MSS køreskole instrument";"Seneste MSS software kan hentes i Dokumenter sektionen nedenfor.
URL filerne kan med fordel gemmes på skrivebordet af arbejdscomputeren. Herefter dobbelt-klikkes blot på dem hver gang en ny firmware skal hentes.";"MSS"
"252";"SL408-0137";"Kabel til SL408";;"Smartlift"
"253";"APB-6134-W-8I8O";"Powerbox I8(D) - O8(10A)+LORA 433/868Mhz";;
"254";"MTC-160";"Mechtronic Trip Counter";;
"255";"NVG-100";" New Holland vendegear";;
"256";"GCR-0130";"Programmeringskabel til Crawler";;"GMV"
"257";"W-400-0306";"Batteriindikatorkabel";;"GMV"
"258";"UVC-8110";"Main Modul";;"NatDis"
"259";"UVC-8120";"Zone Modul";;"NatDis"
"260";"MWD-600";"Mechtronic Wireless Device";"230720: Hardware sendt til KT.";
"262";"W-400-0307";"Winlet CAN(1)bus kabel 400";;"GMV"
"263";"W-400-0308";"Kabel til arm proportionalventil W-400";;"GMV"
"264";"GEM-2380";"8P 2x4<16x 0.5#> J1 Curtis 1212 (Fjernb)";;"GMV"
"265";"GEM-2381";"Wire Remote Control<10x 0,5#>Controlbox";;"GMV"
"266";"GEM-2382";"Radio Remote Control<10x 0,5#>Controlbox";;"GMV"
"267";"W-400-03031";"Forlænger 1 til Hyd. ventil kabel";;"GMV"
"268";"W-400-03032";"Forlænger 2 til Hyd. ventil kabel";;"GMV"
"269";"SL1008";"SL Box";;"Smartlift"
"270";"6I5O-PSC-100";"Polar Switch Current contorled";;
"271";"6I5O-BTG-100";"Battery Timer Guard";;"Zeppelin"
"272";"CNC-GVL-100";"CNC Bearbejdning af GVL kasse.";;"GMV"
"273";"SL408-1000";"Pose med SL408 kabelsæt";;"Smartlift"
"274";"W-575-0105-3";"Curtis interface til terminalprint V3.00";;"GMV"
"276";"W-575-0301";"VAC-Ventiler & Sensorer 575-3";;"GMV"
"278";"SL1000-0304";"Kabel fra PLC til Print";"2022/02/10 MR: Bug 59, tegning tilrettet - præcisering af dimension for rød og sort ledning";"Smartlift"
"279";"CNC-SL1000-0900";"CNC bearbejdning af styrekasse til SL1000";;"Smartlift"
"307";"GEM-1000";"Kompl. kit for Ergomover Basic DC";;"GMV"
"281";"CNC-6I5O";"CNC bearbejdning 6I5O";;
"282";"SL1000-0900";"Styringskasse til SL1000";;"Smartlift"
"283";"W-252";"8 Pol til 6 Pol Molex";;"GMV"
"284";"W-253";"6 Pol til 8 Pol Molex";;"GMV"
"285";"USB-100";"Opladning og kommunikation imellem tablet & CAN";;
"286";"6I5O-PWM-100";"1Ch. PWM regulering 400Hz0-100%";;
"287";"CNC-KAX-700";"CNC bearbejdning KAX-700";;
"308";"GEM-104";"GSM Jumper";;"GMV"
"288";"GEM-3000/6203370";"Kompl. kit for Ergomover Manipulator DC";"
";"GMV"
"291";"PAD-200";"Proportional Analog Divider 2-kanal";;
"290";"W-0118-41";"Knap incl.ledning og stik funk. til PSAC";;"GMV"
"309";"GEM-110";"B1- <16#> CURTIS B-";;"GMV"
"293";"GEM-100";"Print for Ergo Mover V1.00";"18-09-2020 EK: Produktionsmatriale for print.";"GMV"
"294";"MWD-630";"Server modul til MWD-640";"2022/01/13 MR: CAN-IC 2 tilføjet på doc. og stykliste, på anfordring af EUK.";
"295";"MWD-640";"Powerbox til MWD-630";;
"296";"MWD-650";"Ladeholder til MWD-610";;
"297";"MWD-610";"Remote control m/display";"21-6-2021 Software Ver 1.5.0.
          Problem med max 32T på hænger løst.";
"65";"MWD-531";"MWD-530 Vægtdisplay server";"120718 Knud opdatering pga. dårligt radiosignal og stort strømforbrug.

Firmware version 2.1.0 til MWD-510, MWD-520 og MWD-530 opdateret på FTP server.


Som nævnt, fik jeg i går øje på at MWD-500 brugte lidt mere strøm end den ladestrømmen.
-	Og fik øje på et stort forbrug fra display – det kæmpende jeg også en del med.
Lavede bla. en mellemforbindelse til display, så jeg kunne måle strømmen i alle forbindelser imellem MMB100 og display.
-	Konklusionen blev, at det display som var i den MWD-500 i sendte, er deffekt!
I forhold til et andet display jeg har fået fra jer, bruger displayet ca. 52mA hvis men forsyner den direkte med +5V
+ den bruger 112mA ved 100% backligt (mod 100mA på et andet display).

Udover at det blå print er forskellig på de 2 display, så er det også 2 forskellige LCD moduler.
Har taget billede hvor selve LCD modulet er vippet op, ”Display(gammel).jpg” er den ’model’ som er OK.
Søgte på Internet omkring dette, men fandt ikke information herom.


MWD-510 ændringer i version 2.1.0 :
1)	Beep signal ved lav radiosignal ændret:
a) Ny ’kort’ beep signal hver sekund, hvis der er tabte 2 eller flere besked indenfor det sidste sekund (der sendes 10 gang pr. sekund).
b) Det oprindelige Beep-signal kommer nu ved noget svagere signal
    Har set en del gang, at den stadig kan holde forbindelse i lang tid når beep signal høres.
c) Det oprindelige Beep-signal stopper når den har modtaget 10 beskeder i træk.
2)	Har fundet en fejl i radiodelen udlæsning af Radio-signal-styrke fra Chippen, hvilket vil påvirke styrke af sendestyrke, m.m.
3)	Har fundet en mindre fejl ved SPI til Touch.
Er dog ikke fatal, da Touch har sin egen SPI bus.
Medført dog ca. 4mA ekstra forbrug.
4)	Har indført dæmpning af BackLight:
- Efter 1 minut uden betjening + under opladning dæmpes til 40%.
- 100% kan ’aktiveres’ igen ved et tryk på Touch (også uden at A-tasten holdes inde).
5)	Har målet de enkelt forbrug igennem (med et OK display)
a) CPU + Disp                                                    46,3mA
b) CPU + Disp + Radio (20mW)                        84,4mA
c) CPU + Disp + Radio (120mW)                       101,0mA
d) CPU + Disp + Radio (20mW) + 40% BL       122,0mA
e) CPU + Disp + Radio (20mW) + 100% BL     185,0mA

Ladestrøm (til batteri)                                        145mA
Ladestrøm (total)                                               266mA
6)	MWD-500 Radio sendestyrke: 20mW, 60mW, 120mW (målt ledningsbåren, styres efter behov).
Jf. EN 300 220-1 må der max. sende med 25mW, men det er den udstrålede effekt.
Jeg vurdere at, der er et ret stort tab i antennen – men kan ikke måle det….

MWD-520 + MWD-530 ændringer:
1)	CAN ændret til Active mode
2)	Radio sendestyrke: 20mW, 60mW (målt ledningsbåren, styres efter behov).
Jf. EN 300 220-1 må der max. sende med 25mW, men det er den udstrålede effekt.

Der er ingen forstærning i Procom antennen.
Vil forvente at der tabes ca. 1,5..2dB i den relative lave antenne.
Dvs. udstrålet effekt kan komme op på 90mW, hvilket er ca.2dB over det tilladte.

I forrige version fik basen lov at sende med op til 120mW.

Andet:
1)	Oplever periodisk fejl på DC stik til opladning.
2)	Antenneledning var loddet på antenneprint, så den gik direkte tilbage over antenne.
Ved ikke hvor meget det betyder – men tænker det ikke er optimal…
3)	Tror at antennen har ’problemer’ med den korte afstand til metalkabinet i siderne.
Vil forslå vi prøver en anden løsning – tegning vedhæftet.
4)	Da jeg har udskifte display i MWD-510 med det jeg ofte bruger til andre tests, vil jeg gerne – ved lejlighed – have et nyt display.

Test:
1)	I mine test har jeg brugte Procomm antenne, monteret i et skruestik som stod på bordet inde på kontoret.
Har så gået rundt med MWD-510 i haven og ned af jernbanestien.
2)	Oplever nu kun enkelte korte beep når jeg går rundt i haven.
3)	I går lavet rigtig mange test, hvor jeg log’ede data med PC fra MWD-510.
- Her skulle jeg ca. 150meter ned at jernbanestien før der begyndte at komme flere korte-beep.
- Ved ca. 250..300 begyndte det oprindelige Beep af lyde.
4)	I dag samlede jeg MWD-500 helt, og oplevede lidt kortere rækkevikke.
- I haven, stadig kun ganske får korte beep.
- ca. 100 meter nede af jernbanestien begyndte det oprindelige Beep signal.
  Blev stående nogen tid på de 100 meter, hvor den holdt forbindelsen.
";
"298";"CANUSB-100";"CANUSB til Superseal";;
"299";"GEM-192344";"GND Connector";"191020EK Oprettet - ordres i antal af GMV.";"GMV"
"300";"MPM-100";"Mechtronic Produktion Manager";;
"301";"BTN892TA-Eval";"Evaluering af BTN892TA";;
"302";"IBB-120";"3D Print bøsning";;
"304";"DISPv1.00";"Udviklingsprojekt Sprit/UVC Dispenser";;"DISP"
"305";"ATM-110";"Opmonteret print til ATM-100";;"Breeders"
"306";"ATM-111";"Færdigmonteret kasse til ATM-100";;"Breeders"
"310";"GEM-111";"B1+ <16#> B2-";;"GMV"
"311";"GEM-112";"B2+ <16#> Main switch M10";;"GMV"
"312";"GEM-113";"PCB KL.30 <16#> Main switch M10";;"GMV"
"313";"GEM-120";"Tiller <16x 0,5#> Controlbox";;"GMV"
"314";"GEM-130";"18P Chass.Con <16x 0.5#> PCB/Curtis 1212";;"GMV"
"315";"GEM-134";"2P J3< 2x 0,75# > DRV Brake";;"GMV"
"316";"GEM-2000";"Kompl. kit for Ergomover Standard DC";;"GMV"
"317";"GEM-210";"B1- <25#> CURTIS B-";;"GMV"
"318";"GEM-211";"B1+ <25#> B2-";;"GMV"
"319";"GEM-212";"B2+ <25#> Main switch M10";;"GMV"
"320";"GEM-213";"PCB KL.30 <25#> Main switch M10";;"GMV"
"321";"GEM-220XL";"Tiller <16x 0,5#> Controlbox XL";;"GMV"
"322";"GEM-230";"18P Chass.Con <16x 0.5#> PCB2X3/Curtis";;"GMV"
"323";"GEM-231";"8P 2x4,2x14<16x 0.5#> J1 Curtis 1232e";;"GMV"
"324";"GEM-232";"8P 2x4<16x 0.5#> J1 Curtis 1212";;"GMV"
"325";"GEM-233";"2P 2X5 <4x 0,5#> Tiller switch 1S2";;"GMV"
"326";"GEM-234";"2P J3< 2x 0,75# > DRV Brake";;"GMV"
"327";"GEM-235";"2P 3X3< 2x 0,75# > 3S1 EMERGENCY SW.";;"GMV"
"328";"GEM-236";"Ø8 B2+<1X0,75>2X15 BATTERY MONITOR SUP.";;"GMV"
"329";"GEM-237";"6P 1X1.1<7x0.5#>1X1.2,3,4 AC Motor Tacho";;"GMV"
"330";"GEM-240";"Ø6 W<25# 1850mm>Ø6 W Kabel AC motor";;"GMV"
"331";"GEM-241";"Ø6 U<25# 1850mm>Ø6 U Kabel AC motor";;"GMV"
"332";"GEM-242";"Ø6 V<25# 1850mm>Ø6 V Kabel AC motor";;"GMV"
"333";"GEM-250";"Curtis M1 M6 <16# Sort> DRV motor - M8";;"GMV"
"334";"GEM-251";"Curtis M2 M6 <16# Rød> DRV motor + M8";;"GMV"
"335";"GEM-252";"Curtis B+ M6 <16# Rød> DRV.SUP M6";;"GMV"
"336";"GEM-253";"Curtis B- M6 <16# Sort> KL.31 M10";;"GMV"
"337";"GEM-260";"2X9,10 PCB< 4x 0,75#> HYD.VAL UP/DN";;"GMV"
"338";"GEM-261";"2P 2X13< 2x 0,75# > HYD.RELAY";;"GMV"
"339";"GEM-262";"PCBSUP M6 <10# Rød> HYD.RELAY M8";;"GMV"
"340";"GEM-263";"HYD.MOT.- <10# Sort> KL.31 M10";;"GMV"
"341";"GEM-264";"HYD.MOT.+ <10# RØD> HYD.RELAY M8";;"GMV"
"342";"GEM-330";"2P 2X5 <4x 0,5#> Lift switch 1S3";;"GMV"
"343";"GEM-331";"2P 2X5 <4x 0,5#> Tilt switch 1S4";;"GMV"
"344";"GEM-332";"2P 2X11< 2x 0,75# > TILT VALVE";;"GMV"
"345";"W-101";"Sensor Input Leax 575-600";;"GMV"
"346";"W-102";"Load sensor kabel 350-575-600";;"GMV"
"347";"W-103";"Sensor Input Leax 350,600,600HD";;"GMV"
"348";"W-104";"Jumper Tiellerhead";;"GMV"
"349";"W-121";"Load senor kabel Winlet 600-600HD";;"GMV"
"350";"W-201";"Winlet CAN(1)bus fordelerkabel 350-600";;"GMV"
"351";"W-202";"Winlet CANbus kabel Tillerhead 350-600";;"GMV"
"352";"W-203";"Winlet CAN(1)bus fordelerkabel 575";;"GMV"
"353";"W-204";"Winlet CANbus kabel Tiller head 575";;"GMV"
"354";"W-205";"Winlet CAN(1)bus kabel 350-600";;"GMV"
"355";"W-206";"Winlet CAN(1)bus kabel 575";;"GMV"
"356";"W-207";"Adapter for radio remote";;"GMV"
"357";"W-1000-0101";"Powercable 1222 Relay <-> Fuse";;"GMV"
"358";"W-1000-0102";"Powercable 1222 Fuse <-> B+";;"GMV"
"359";"W-1000-0103";"Powercable 1222 B- <-> B-";;"GMV"
"360";"W-1000-0104";"Powercable 1222 W <-> W";;"GMV"
"361";"W-1000-0105";"Powercable 1222 V <-> V";;"GMV"
"362";"W-1000-0105-2";"Curtis 1298/1222 interfacekabel";;"GMV"
"363";"W-1000-0105-3";"Curtis 1298/1222 interfacekabel";;"GMV"
"364";"W-1000-0106";"Drossel Valve Cable Winlet 1000.";;"GMV"
"365";"W-1000-0107";"Længdemåler kabel M12 5P m/stik i pose";;"GMV"
"366";"W-1000-0108";"Powercable 1222 U <-> U";;"GMV"
"367";"W-1000-0109";"Powercable 1222 Fuse <-> +1222";;"GMV"
"368";"W-1000-0121";"Adapter CAN";;"GMV"
"369";"W-1000-(0101-0105)";"x";;"GMV"
"370";"W-350-0105";"POWERKABEL 350";;"GMV"
"371";"W-350-0106";"16"" POWER 350 BAT MAIN";;"GMV"
"372";"W-350-0107";"16"" POWER 350 BAT-PCB";;"GMV"
"373";"W-350-0108";"16"" POWER 350 MAIN-PCB";;"GMV"
"374";"W-350-0109";"16"" POWER 350 BAT BAT";;"GMV"
"375";"W-350-0110";"POWER DVR 350";;"GMV"
"376";"W-350-0113";"TILLERHEAD 350";"2022/02/11 MR/KG: BUG113 aflyses, da der ikke forventes behov for flere enheder.";"GMV"
"377";"W-350-0115-2";"Curtis - Drive 350 V2.00";;"GMV"
"378";"W-350-0117-2";"Curtis-Hyd 350 V2.00";;"GMV"
"379";"W-350-0119";"Stik til winlet 350";;"GMV"
"380";"W-350-575-0205";"Spiralkabel for fjernbet.";;"GMV"
"381";"W-350-575-0205-2";"Spiralkabel Winlet remote V2.00";;"GMV"
"382";"W-350-575-0205-3";"Spiralkabel Winlet remote V3.00 8P conn.";;"GMV"
"383";"W-350-575-0207";"SWICH FOR TILLERHEAD";;"GMV"
"384";"W-350-575-0210";"Kabel for lydgiver ved kørsel";;"GMV"
"385";"W-350-575-0211";"Forlænger TILLERHEAD";;"GMV"
"386";"W-350-600-0202";"CAR EL 24V/15A 230V 350/600/600HD";;"GMV"
"387";"W-350-600-600HD-0112";"VENTIILKABLER 350-600-600HD";;"GMV"
"388";"W-350-600-600HD-0116";"VAC-VENTIL 350-600-600HD";;"GMV"
"389";"W-575-0105-2";"Curtis interface til terminalprint V2.00";;"GMV"
"390";"W-575-0106";"16"" POWER 575 CURTIS RELAY";;"GMV"
"391";"W-575-0106-1";"25"" POWER 575 CURTIS RELAY";;"GMV"
"392";"W-575-0107";"16"" POWER 575 PCB RELAY";;"GMV"
"393";"W-575-0108";"16"" POWER 575 PRINT+ABR";;"GMV"
"394";"W-575-0108-1";"25"" POWER 575 PRINT+ABR";;"GMV"
"395";"W-575-0109";"16"" POWER 575 PRINT-BAT";;"GMV"
"396";"W-575-0109-1";"25"" POWER 575 PRINT-BAT";;"GMV"
"397";"W-575-0110";"16"" POWER 575 WW";;"GMV"
"398";"W-575-0110-1";"25"" POWER 575 WW";;"GMV"
"399";"W-575-0111";"16"" POWER 575 CURTIS+D1";;"GMV"
"400";"W-575-0111-1";"25"" POWER 575 CURTIS+D1";;"GMV"
"401";"W-575-0112";"16"" POWER 575 U U";;"GMV"
"402";"W-575-0112-1";"25"" POWER 575 U U";;"GMV"
"403";"W-575-0113";"16"" POWER BAT BAT";;"GMV"
"404";"W-575-0113-1";"25"" POWER BAT BAT";;"GMV"
"405";"W-575-0114";"16"" POWER 575 CURTIS PUMP D2";;"GMV"
"406";"W-575-0114-1";"25"" POWER 575 CURTIS PUMP D2";;"GMV"
"407";"W-575-0115";"16"" POWER 575 BAT+ABR";;"GMV"
"408";"W-575-0115-1";"25"" POWER 575 BAT+ABR";;"GMV"
"409";"W-575-0117";"VAC-VENTIL 575";;"GMV"
"410";"W-575-0121";"WIN-GYROKAB  Kabel til WinLet 575";;"GMV"
"411";"W-575-0122";"VENTILKABLER 575";;"GMV"
"412";"W-575-0124";"MOTORBREMSER 575";;"GMV"
"413";"W-575-0126";"16"" POWER 575 V V";;"GMV"
"414";"W-575-0126-1";"25"" POWER 575 V V";;"GMV"
"415";"W-575-0127";"16"" POWER 575 CURTISPRINT";;"GMV"
"416";"W-575-0127-1";"25"" POWER 575 CURTISPRINT";;"GMV"
"417";"W-575-0128";"Stik til winlet 575";;"GMV"
"418";"W-575-0202";"CAR EL 24V/15A 230V 575";;"GMV"
"419";"W-600-0100-2";"Controller for Winlet-600-2";;"GMV"
"420";"W-600-0101-2";"Curtis interface til terminalprint V2.00";;"GMV"
"421";"W-600-0102";"Powerkabel for motor - UW Ø5 850mm Ø5";;"GMV"
"422";"W-600-0103";"Powerkabel for motor - V V Ø5 800mm Ø5";;"GMV"
"423";"W-600-0104";"Powerkabel for motor - WU Ø5 750mm Ø5";;"GMV"
"424";"W-600-0107";"Power Curtis - hydraulik";;"GMV"
"425";"W-600-600HD-0106";"Power Curtis+ - relay";;"GMV"
"426";"W-600-600HD-0107";"Power PCB relay - Print-relay 28 cm.";;"GMV"
"427";"W-600-600HD-0127";"Power Curtis - print";;"GMV"
"428";"W-600HD-0101-2";"Curtis interface til terminalprint V2.00";;"GMV"
"429";"W-600HD-0102";"Powerkabel for motor - U-U Ø6 65cm Ø8";;"GMV"
"430";"W-600HD-0103";"Powerkabel for mortor - V-V Ø6 70 cm Ø8";;"GMV"
"431";"W-600HD-0104";"Powerkabel for motor- W-W Ø6 75 cm Ø8.";;"GMV"
"432";"Winlet-1000";"WinLet 1000";;"GMV"
"433";"Winlet-350-2";"WinLet 350";;"GMV"
"434";"Winlet-350TH-2";"WinLet 350TH";;"GMV"
"435";"WINLET-575-2";"WinLet 575";;"GMV"
"436";"Winlet-600HD-2";"WinLet 600HD";;"GMV"
"437";"Winlet-785";"Winlet 785";;"GMV"
"438";"Winlet-Lasius";"WinLet Lasius";;"GMV"
"439";"W-LASIUS-0100-2";"WinLet Lacius Controller";;"GMV"
"440";"W-233";"Service kit for PCB mont.i tiller";;"GMV"
"441";"W-350-0118-4";"Fjernbet. Komp.400 m/nødstop NY POT";;"GMV"
"442";"W-575-0122-PROP";"VENTILKABLER 575";;"GMV"
"443";"W-0118-40";"Komplet nødstop switch med stik";"2022/01/14 MR: Tilrettet iht. bug nr. 105";"GMV"
"444";"W-350-115V";"Winlet 350 komplet kit m/115V lader";;"GMV"
"445";"W-350-575-0203";"WINLET-100";;"GMV"
"446";"W-400-1000";"Komplet ledningskit. GMV nr 9020718";;"GMV"
"447";"W-400-10000";"* Komplet kit * Winlet 400";;"GMV"
"448";"W-600-0105";"Pose til winlet 600";;"GMV"
"449";"MWD";"Produktmappe for MWD Produkter";;"MWD"
"450";"MWD-6016";"Mechtronic Wireless Devicekit 16Ch.";;
"451";"UVC-700";"UVC Radiolink";;"NatDis"
"452";"W-105";"Jumper Winlet Controller";;"GMV"
"454";"DISP-100";"Dispensorprojekt";;"Naturlig Desinfektion"
"455";"6I5O-NCN-100";"Signal aktivering";;
"456";"AB-100";"3D Print til Anker Bjerre Fjernbetjening";;
"457";"MWD-631";"Server til WiFi vægtvisning";;
"458";"MWD-620";"Powerbox I8(D) - O8(10A)+LORA 433/868Mhz";;
"459";"GDL-110";"GDL Controller";;"Ivan Jakobsen"
"460";"URS-100";"Ultrasonic Reverse Stop";"290421: 1. prototype er afsendt for test, efter software opdatering. ";"Zeppelin"
"461";"SL408-1135";"Curtis Kabel SL408";;"Smartlift"
"462";"SL608-1135";"Curtis Kabel SL608";;"Smartlift"
"463";"UVC-PLC";"PLC styring til Naturlig Desinfektion";"MJ: starter Siemens LOGO prog. UVC-PLV-V2 120121.";"NatDis"
"465";"UVC-PLC-V2";"UVC styring LOGO PLC";;"NatDis"
"467";"Winlet-400";"Winlet 400 kit";"10-11-2021EK Fejl i diagram benævnelser omkring. side 2 ved P4.7. Der henvises til (124)CN3:3,4. Det er en fejl og teksten er ikke sigende for funktionen.";"GMV"
"468";"FM Produkter";"FM Maskiner relaterede produkter";"D90121 ette er en midlertidig mappe, hvor div. doc kan udveksles";"FM Maskiner"
"469";"W-254";"8 Pol til 8 Pol Molex";;"GMV"
"470";"MWD-1002";"Mechtronic Wireless Device (2Ch)";;
"472";"SUPREMO";"Mechtronic Fjernskrivebord";;"All"
"473";"PICO Scop";"PC oscilloskop";;"All"
"474";"C2F-100";"CAN to frekvens converter";;
"475";"SL1000-0305";"Kabel til SL1000";;"Smartlift"
"476";"SL1000-0306";"Kabel til SL1000";;"Smartlift"
"477";"SL408-608-0110";"Samlekasse";;"Smartlift"
"478";"SL1000-0100";"Kabel til SL1000";;"Smartlift"
"480";"MMB-200";"MMB Board med ESP32";;
"481";"MWD-710";"Vægtaflæsningsprodukt med MMB Board og ESP";;"Mechtronic"
"483";"SL608-0121";"Rød <6#>";;"Smartlift"
"484";"W-575-0110-2";"25"" POWER 575 WW";;"GMV"
"485";"W-575-0112-2";"25"" POWER 575 U U";;"GMV"
"486";"W-575-0126-2";"25"" POWER 575 V V";;"GMV"
"487";"W-575-0114-2";"25"" POWER 575 CURTIS PUMP E2";;"GMV"
"488";"W-575-0111-2";"25"" POWER 575 CURTIS+E1";;"GMV"
"489";"W-600HD-0102-1";"Powerkabel for motor - U-U Ø6 65cm Ø10";;
"490";"W-600HD-0103-1";"Powerkabel for mortor - V-V Ø6 66 cm Ø10";;
"491";"W-600HD-0104-1";"Powerkabel for motor- W-W Ø6 66 cm Ø10";;
"492";"FREI-TEMO-200";"Frei Tillerhead TEMO200 modul";;
"493";"MMB-ESP32 WiFi";"MMB-100 ESP32 WiFi setup";;
"494";"SL1000-2000";"Nyudvik. 2021";;"Smartlift"
"496";"SLnyt kabel";"SL Ladekabel til 408/608";;"Smartlift"
"497";"MONT-SL1000-0100";"Monteret print";;
"498";"SCC-100";"CAN Interface IO Enhed";;
"499";"FLS-200";"Frekvens Limit Switch";;
"500";"6I5O-NCN-101";"Signal aktivering";;
"501";"SL012207";"Charge cable";;"Smartlift"
"504";"MWD-720";"Server WiFi/Bluetooth MWD-700";;
"503";"MWD-700";"Mechtronic Weight Display via Mobil";;
"505";"ESP-32";"WiFi/Bluetooth modul";;
"506";"MWD-730";"Kabelsæt til mwd-700";;"Mechtronic"
"507";"W-575-0122-3";"Kabel i winet 575-2";;"GMV"
"508";"W-208";"Adapter ( 6207190 )";;"GMV"
"509";"MMB-103";"MMB-100 tilpasset displayvisning";;
"510";"W-575-0121-1";"WIN-GYROKAB  Kabel til WinLet 575 6P";;"GMV"
"511";"DK80007503A";"Kabel - 4 pol connector m/protective cap";;
"512";"W-400-0309";"Kabel til Dump lventil W-400";;"GMV"
"513";"VMB-120";"VMB-1000 MMB-100 og ESP32 sw";;
"514";"VMB-121";"Powerboks";;
"515";"VMB-110";"App";;
"516";"JRK-221";"JCB relæ kit";;
"517";"GVL-120";"Styring for løfteåg";;"GMV"
"518";"UVC-8100";"UVC MODbus UVC system med zonemoduler";;"NatDis"
"519";"SSM-300";"Speeder Limiter Modul";"210621EK: Udviklingsstart.";"NCN"
"520";"SL1000-2102";"Kabel 25# 1000mm monteret U";;"Smartlift"
"521";"SL1000-2103";"Kabel 25# 1000mm monteret V";;"Smartlift"
"522";"SL1000-2104";"Kabel 25# 1000mm monteret W";;"Smartlift"
"523";"SL1000-2105";"Kabel 25# rød 200mm monteret";;"Smartlift"
"524";"SL1000-2106";"Kabel 25# 910mm monteret";;"Smartlift"
"525";"SL1000-2107";"Kabel 25# rød 300mm monteret";;"Smartlift"
